direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars,pnl%
short,2025-09-30 10:15:00,2025-09-30 14:15:00,1135.4033,1142.5072,-0.006217816395380327,7,-0.62
short,2025-09-30 15:00:00,2025-10-09 10:15:00,1127.7188,1148.921,-0.01845401032795113,5,-1.85
short,2025-10-09 11:30:00,2025-10-09 14:30:00,1134.5556,1142.7215,-0.007146010642138267,4,-0.71
short,2025-10-13 21:30:00,2025-10-15 09:45:00,1108.2487,1087.5364,0.019045155638009126,32,1.9
short,2025-10-20 11:00:00,2025-10-21 11:15:00,1060.8645,1059.9393,0.0008728801734212421,24,0.09
long,2025-10-28 21:15:00,2025-10-29 11:15:00,1084.1427,1083.0858,-0.0009748716658793954,15,-0.1
long,2025-10-29 15:00:00,2025-10-29 21:45:00,1093.1872,1075.8344,-0.01587358505478309,3,-1.59
long,2025-11-03 09:15:00,2025-11-03 14:30:00,1124.0782,1095.1821,-0.0257064855452227,12,-2.57
long,2025-11-04 09:30:00,2025-11-05 09:45:00,1107.5268,1114.0,0.00584473441184441,24,0.58
short,2025-11-12 11:00:00,2025-11-13 10:00:00,1046.1813,1049.9879,-0.0036253751114656563,20,-0.36
short,2025-11-18 09:45:00,2025-11-19 11:15:00,1026.025,1020.0243,0.005882899064267422,28,0.59
short,2025-11-19 14:30:00,2025-11-21 14:30:00,1009.0397,992.0327,0.017143588109545194,46,1.71
long,2025-11-24 13:45:00,2025-11-25 14:45:00,998.0222,1014.0129,0.016022389081124633,27,1.6
long,2025-11-26 10:00:00,2025-11-28 11:15:00,1022.0105,1046.0127,0.023485277303902485,50,2.35
short,2025-12-03 14:30:00,2025-12-04 14:45:00,1017.002,1010.0,0.006932673267326717,24,0.69
short,2025-12-05 09:30:00,2025-12-05 21:45:00,1003.0,1007.7465,-0.0047100138774979206,16,-0.47
short,2025-12-09 21:30:00,2025-12-10 14:15:00,976.5087,971.7583,0.004888458374886051,18,0.49
short,2025-12-11 14:00:00,2025-12-15 10:00:00,959.8987,950.3072,0.010093052015179849,39,1.01
long,2025-12-16 10:45:00,2025-12-16 14:15:00,954.1958,941.602,-0.013198339376467638,6,-1.32
short,2025-12-22 09:30:00,2025-12-22 21:30:00,931.1296,943.4015,-0.013008141284490349,15,-1.3
short,2025-12-23 10:15:00,2025-12-23 14:00:00,933.2846,940.7148,-0.007898461893020126,6,-0.79
long,2025-12-24 22:15:00,2025-12-25 11:30:00,957.3652,952.9163,-0.004647024980644732,12,-0.46
long,2025-12-30 21:45:00,2025-12-31 10:45:00,985.1964,977.6509,-0.007658878980881467,11,-0.77
long,2025-12-31 15:00:00,2026-01-05 21:45:00,987.8478,984.974,-0.0029091526042777094,18,-0.29
long,2026-01-06 10:15:00,2026-01-08 13:45:00,991.6615,1039.0236,0.04776034967577125,51,4.78
short,2026-01-09 21:30:00,2026-01-12 11:15:00,1025.4009,1035.6215,-0.009869049647964867,14,-0.99
short,2026-01-13 13:45:00,2026-01-14 14:45:00,1024.8191,1000.5505,0.024255247486258735,27,2.43
short,2026-01-15 11:30:00,2026-01-15 21:45:00,990.5048,995.1878,-0.004705644502474793,9,-0.47
long,2026-01-16 21:30:00,2026-01-19 09:45:00,1007.2589,998.4263,-0.00876894708996867,9,-0.88
short,2026-01-20 11:30:00,2026-01-21 22:30:00,965.2056,972.9199,-0.007929018617051642,35,-0.79
long,2026-01-23 09:15:00,2026-01-23 13:45:00,988.3099,981.5128,-0.006877498646932545,9,-0.69
long,2026-01-23 21:15:00,2026-01-26 22:00:00,994.3846,1000.5246,0.006174673260225472,26,0.62
long,2026-01-28 22:15:00,2026-01-30 09:45:00,1013.9945,1005.6199,-0.008259019156415581,29,-0.83
long,2026-02-03 21:15:00,2026-02-04 21:45:00,1052.7148,1047.401,-0.0050477109279739585,25,-0.5
short,2026-02-06 21:45:00,2026-02-09 11:00:00,1027.9463,1034.8871,-0.006706818550545113,12,-0.67
short,2026-02-11 21:15:00,2026-02-12 10:00:00,1015.275,1024.7328,-0.009229527931573944,11,-0.92
long,2026-02-25 11:30:00,2026-02-25 21:45:00,1040.4516,1031.0346,-0.009050877522798872,9,-0.91
long,2026-03-05 11:30:00,2026-03-09 14:15:00,1053.2836,1101.9677,0.046221264624266345,49,4.62
long,2026-03-12 22:30:00,2026-03-13 14:45:00,1136.9645,1132.9045,-0.0035709118446529686,16,-0.36
short,2026-03-18 09:15:00,2026-03-18 23:00:00,1086.9616,1072.965,0.013044787108619671,22,1.3
short,2026-03-19 11:15:00,2026-03-20 10:00:00,1059.9904,1064.9585,-0.004665064413308162,19,-0.47
short,2026-03-20 15:00:00,2026-03-20 22:00:00,1053.9678,1071.1317,-0.01602407995207311,4,-1.6
